timestamp,machine_id,machine_type,servo_motor_rpm,hydraulic_pressure_psi,temperature_celsius,vibration_mm_per_s,operation_time_hours,cycle_count,joint_wear_percent,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-05T00:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1225.26,1953.8,65.37,0.649,0.5,46,-0.85,NORMAL,0.5,0,2
2025-03-05T00:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1171.86,2082.43,69.03,0.551,0.42,44,3.5,NORMAL,0.42,0,2
2025-03-05T01:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1187.84,2044.11,62.5,0.502,0.8,38,-1.5,NORMAL,0.8,1,2
2025-03-05T01:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1192.74,1979.16,63.62,0.596,0.59,57,-0.08,NORMAL,0.59,1,2
2025-03-05T01:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1237.42,2090.84,67.99,0.397,0.66,52,-0.38,NORMAL,0.66,1,2
2025-03-05T01:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1162.33,1948.27,61.98,0.33,0.52,49,-3.5,NORMAL,0.52,1,2
2025-03-05T02:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1239.65,1974.97,64.99,0.669,0.9,52,-4.11,NORMAL,0.9,2,2
2025-03-05T02:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1221.94,2038.21,69.56,0.646,0.68,68,-2.19,NORMAL,0.68,2,2
2025-03-05T02:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1150.82,2025.23,64.68,0.441,0.72,64,5.0,NORMAL,0.72,2,2
2025-03-05T02:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1196.87,1995.78,68.42,0.563,0.66,61,-2.08,NORMAL,0.66,2,2
2025-03-05T03:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1184.12,2033.55,69.12,0.399,0.98,63,4.78,NORMAL,0.98,3,2
2025-03-05T03:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1221.94,2038.21,69.56,1.48,0.84,75,-2.19,NORMAL,0.84,3,2
2025-03-05T03:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1154.09,2048.51,65.79,0.519,0.81,79,4.59,NORMAL,0.81,3,2
2025-03-05T03:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1205.46,2079.72,68.35,0.448,0.81,68,-1.76,NORMAL,0.81,3,2
2025-03-05T04:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1195.26,2092.2,67.33,0.554,1.09,75,3.22,NORMAL,1.09,4,2
2025-03-05T04:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1213.07,2030.97,62.65,0.65,0.9,82,2.97,NORMAL,0.9,4,2
2025-03-05T04:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1153.4,1911.55,63.91,0.576,0.98,87,-0.24,NORMAL,0.98,4,2
2025-03-05T04:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1215.12,2065.12,67.59,0.643,0.91,79,-0.55,NORMAL,0.91,4,2
2025-03-05T05:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1173.57,2020.64,60.16,0.385,1.18,85,1.38,NORMAL,1.18,5,2
2025-03-05T05:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1204.45,2061.07,66.48,0.549,1.0,94,-1.92,NORMAL,1.0,5,2
2025-03-05T05:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1172.79,1900.09,65.52,0.433,1.04,102,-3.39,NORMAL,1.04,5,2
2025-03-05T05:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1175.48,2013.75,62.2,0.682,1.11,87,4.2,NORMAL,1.11,5,2
2025-03-05T06:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1194.82,1917.56,62.87,0.443,1.26,91,-0.7,NORMAL,1.26,6,2
2025-03-05T06:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1237.92,1934.9,60.81,0.476,1.13,107,4.82,NORMAL,1.13,6,2
2025-03-05T06:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1159.04,2081.88,69.55,0.31,1.14,110,3.43,NORMAL,1.14,6,2
2025-03-05T06:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1223.25,2042.66,67.47,0.694,1.23,95,0.45,NORMAL,1.23,6,2
2025-03-05T07:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1194.82,2357.91,62.87,0.443,1.44,102,-0.7,NORMAL,1.44,7,2
2025-03-05T07:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1205.17,1957.58,63.69,0.696,1.19,121,-4.03,NORMAL,1.19,7,2
2025-03-05T07:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1209.2,1989.38,60.76,0.362,1.23,121,1.48,NORMAL,1.23,7,2
2025-03-05T07:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1246.73,2032.1,61.59,0.642,1.35,106,2.07,NORMAL,1.35,7,2
2025-03-05T08:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1195.38,2054.12,66.72,0.394,1.59,111,-0.43,NORMAL,1.59,8,2
2025-03-05T08:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1229.25,1917.34,67.8,0.343,1.35,135,-1.18,NORMAL,1.35,8,2
2025-03-05T08:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1209.2,1989.38,84.75,0.362,1.37,134,1.48,NORMAL,1.37,8,2
2025-03-05T08:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1197.46,2031.8,64.91,0.661,1.44,112,0.31,NORMAL,1.44,8,2
2025-03-05T09:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1225.49,2073.21,62.93,0.452,1.7,125,4.98,NORMAL,1.7,9,2
2025-03-05T09:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1229.25,1917.34,67.8,1.67,1.41,141,-1.18,NORMAL,1.41,9,2
2025-03-05T09:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1214.53,2048.58,60.59,0.392,1.56,145,-3.37,NORMAL,1.56,9,2
2025-03-05T09:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1237.95,1979.16,66.05,0.626,1.62,124,-2.81,NORMAL,1.62,9,2
2025-03-05T10:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1191.54,2072.91,61.52,0.632,1.75,136,4.47,NORMAL,1.75,10,2
2025-03-05T10:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1188.4,1922.04,66.42,0.48,1.51,150,-3.47,NORMAL,1.51,10,2
2025-03-05T10:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1184.2,2036.54,60.48,0.634,1.76,159,2.89,NORMAL,1.76,10,2
2025-03-05T10:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1211.61,1999.99,60.21,0.33,1.69,131,4.74,NORMAL,1.69,10,2
2025-03-05T11:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1249.28,2097.99,65.68,0.625,1.94,150,0.92,NORMAL,1.94,11,2
2025-03-05T11:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1221.4,1949.98,63.31,0.475,1.57,160,0.02,NORMAL,1.57,11,2
2025-03-05T11:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1237.4,1985.21,69.29,0.614,1.84,164,1.25,NORMAL,1.84,11,2
2025-03-05T11:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1243.41,1962.7,61.58,0.4,1.77,137,-3.62,NORMAL,1.77,11,2
2025-03-05T12:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1190.48,2056.89,68.47,0.688,2.03,163,0.36,NORMAL,2.03,12,2
2025-03-05T12:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1232.48,1928.76,69.66,0.688,1.77,173,4.49,NORMAL,1.77,12,2
2025-03-05T12:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1156.04,1919.05,60.94,0.54,1.95,178,-3.43,NORMAL,1.95,12,2
2025-03-05T12:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1164.29,1946.81,69.73,0.454,1.84,142,2.18,NORMAL,1.84,12,2
2025-03-05T13:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1232.6,1938.61,61.85,0.34,2.15,177,0.79,NORMAL,2.15,13,2
2025-03-05T13:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1211.27,1959.74,65.27,0.572,1.89,186,-3.51,NORMAL,1.89,13,2
2025-03-05T13:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1199.4,2039.7,66.04,0.665,2.11,188,4.82,NORMAL,2.11,13,2
2025-03-05T13:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1207.88,1920.5,60.75,0.515,1.92,157,0.19,NORMAL,1.92,13,2
2025-03-05T14:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1234.04,1944.42,68.6,0.403,2.28,190,-1.57,NORMAL,2.28,14,2
2025-03-05T14:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1245.88,1992.86,65.64,0.436,2.03,195,3.52,NORMAL,2.03,14,2
2025-03-05T14:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1224.53,1984.86,61.37,0.68,2.21,197,-1.48,NORMAL,2.21,14,2
2025-03-05T14:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1239.42,1942.45,65.71,0.685,2.0,167,2.69,NORMAL,2.0,14,2
2025-03-05T15:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1197.19,1974.88,68.22,0.677,2.34,200,4.59,NORMAL,2.34,15,2
2025-03-05T15:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1211.87,1925.04,61.57,0.364,2.12,206,1.72,NORMAL,2.12,15,2
2025-03-05T15:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1238.25,1901.11,68.57,0.587,2.32,202,-1.85,NORMAL,2.32,15,2
2025-03-05T15:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1227.36,2021.01,62.93,0.454,2.14,179,4.38,NORMAL,2.14,15,2
2025-03-05T16:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1224.72,1991.96,62.84,0.454,2.48,205,-1.69,NORMAL,2.48,16,2
2025-03-05T16:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1210.1,1937.23,60.82,0.429,2.3,221,4.93,NORMAL,2.3,16,2
2025-03-05T16:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1150.06,2064.86,67.56,0.642,2.52,214,-2.79,NORMAL,2.52,16,2
2025-03-05T16:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1204.88,2070.03,69.62,0.697,2.24,184,-2.6,NORMAL,2.24,16,2
2025-03-05T17:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1151.33,2024.86,64.87,0.565,2.6,214,0.55,NORMAL,2.6,17,2
2025-03-05T17:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1210.1,1937.23,60.82,0.994,2.4,226,4.93,NORMAL,2.4,17,2
2025-03-05T17:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1209.2,2006.55,67.83,0.397,2.63,224,0.58,NORMAL,2.63,17,2
2025-03-05T17:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1162.78,1960.01,61.24,0.662,2.31,191,3.68,NORMAL,2.31,17,2
2025-03-05T18:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1151.33,2024.86,89.3,0.565,2.67,223,0.55,NORMAL,2.67,18,2
2025-03-05T18:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1248.25,1967.9,63.51,0.478,2.48,241,-1.4,NORMAL,2.48,18,2
2025-03-05T18:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1191.71,2033.22,68.31,0.317,2.79,232,2.87,NORMAL,2.79,18,2
2025-03-05T18:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1240.9,1946.15,64.71,0.559,2.44,197,3.17,NORMAL,2.44,18,2
2025-03-05T19:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1182.6,1986.1,60.58,0.697,2.85,232,-0.32,NORMAL,2.85,19,2
2025-03-05T19:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1246.94,1973.8,66.53,0.653,2.54,247,0.49,NORMAL,2.54,19,2
2025-03-05T19:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1177.27,2050.76,68.14,0.518,2.88,246,2.48,NORMAL,2.88,19,2
2025-03-05T19:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1197.21,1941.2,64.22,0.485,2.51,211,3.01,NORMAL,2.51,19,2
2025-03-05T20:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1173.38,1921.54,61.38,0.386,2.92,245,5.33,NORMAL,2.92,20,2
2025-03-05T20:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1164.01,1959.67,69.28,0.683,2.69,262,-3.91,NORMAL,2.69,20,2
2025-03-05T20:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1176.09,2058.9,67.45,0.454,3.04,254,-1.2,NORMAL,3.04,20,2
2025-03-05T20:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1165.68,2058.36,67.18,0.54,2.57,217,2.46,NORMAL,2.57,20,2
2025-03-05T21:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1163.29,2063.43,61.73,0.328,3.0,255,1.47,NORMAL,3.0,21,2
2025-03-05T21:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1193.57,2010.89,62.11,0.605,2.76,273,5.04,NORMAL,2.76,21,2
2025-03-05T21:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1209.85,1972.99,60.6,0.487,3.24,268,-2.58,NORMAL,3.24,21,2
2025-03-05T21:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1154.87,2006.48,60.93,0.415,2.75,232,0.89,NORMAL,2.75,21,2
2025-03-05T22:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1187.69,1975.01,61.89,0.316,3.13,269,4.96,NORMAL,3.13,22,2
2025-03-05T22:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1174.51,1918.66,61.85,0.591,2.89,285,1.53,NORMAL,2.89,22,2
2025-03-05T22:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1193.48,2018.78,67.67,0.393,3.36,277,1.47,NORMAL,3.36,22,2
2025-03-05T22:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1182.75,2092.47,68.23,0.597,2.83,238,3.72,NORMAL,2.83,22,2
2025-03-05T23:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1167.42,1956.85,67.86,0.481,3.26,277,-0.4,NORMAL,3.26,23,2
2025-03-05T23:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1153.46,1910.82,60.25,0.535,2.97,292,-1.32,NORMAL,2.97,23,2
2025-03-05T23:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1182.87,2028.34,61.44,0.629,3.49,288,-2.43,NORMAL,3.49,23,2
2025-03-05T23:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1234.95,2015.05,67.07,0.564,2.99,243,-2.09,NORMAL,2.99,23,2
2025-03-06T00:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1157.16,2025.33,69.91,0.373,3.31,289,0.17,NORMAL,3.31,0,3
2025-03-06T00:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1195.86,2027.58,69.27,0.595,3.1,303,1.37,NORMAL,3.1,0,3
2025-03-06T00:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1171.96,1967.3,62.69,0.522,3.61,294,-1.5,NORMAL,3.61,0,3
2025-03-06T00:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1196.12,2088.88,67.96,0.55,3.05,249,-0.58,NORMAL,3.05,0,3
2025-03-06T01:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1151.08,2029.27,68.64,0.638,3.47,302,1.8,NORMAL,3.47,1,3
2025-03-06T01:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1204.54,1947.96,63.06,0.359,3.3,312,1.58,NORMAL,3.3,1,3
2025-03-06T01:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1192.94,1926.77,63.92,0.368,3.75,299,-2.09,NORMAL,3.75,1,3
2025-03-06T01:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1233.05,1951.13,67.1,0.336,3.13,264,3.36,NORMAL,3.13,1,3
2025-03-06T02:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1208.16,2037.74,62.1,0.352,3.65,317,4.78,NORMAL,3.65,2,3
2025-03-06T02:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1225.93,2047.98,66.76,0.379,3.44,326,2.27,NORMAL,3.44,2,3
2025-03-06T02:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1188.58,1926.77,64.19,0.498,3.83,310,0.59,NORMAL,3.83,2,3
2025-03-06T02:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1239.86,1967.8,60.27,0.617,3.22,278,1.8,NORMAL,3.22,2,3
2025-03-06T03:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1153.19,1998.63,62.71,0.333,3.71,332,5.6,NORMAL,3.71,3,3
2025-03-06T03:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1159.52,2089.86,64.7,0.555,3.51,331,-2.36,NORMAL,3.51,3,3
2025-03-06T03:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1154.07,1918.09,61.12,0.353,4.01,325,4.51,NORMAL,4.01,3,3
2025-03-06T03:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1177.67,2002.9,62.39,0.438,3.33,284,-3.89,NORMAL,3.33,3,3
2025-03-06T04:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1242.02,1989.5,61.78,0.663,3.88,343,-3.78,NORMAL,3.88,4,3
2025-03-06T04:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1231.15,1987.82,68.03,0.671,3.56,342,3.99,NORMAL,3.56,4,3
2025-03-06T04:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1166.71,2003.01,63.14,0.577,4.1,334,-3.08,NORMAL,4.1,4,3
2025-03-06T04:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1193.43,2040.2,67.56,0.392,3.39,294,-4.14,NORMAL,3.39,4,3
2025-03-06T05:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1162.22,1925.37,63.2,0.584,4.01,352,0.77,NORMAL,4.01,5,3
2025-03-06T05:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1206.21,2024.3,68.05,0.439,3.72,352,-3.19,NORMAL,3.72,5,3
2025-03-06T05:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1217.27,1900.18,67.78,0.385,4.23,347,-2.41,NORMAL,4.23,5,3
2025-03-06T05:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1240.36,2099.87,64.71,0.478,3.54,299,-3.88,NORMAL,3.54,5,3
2025-03-06T06:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1170.63,1986.61,61.41,0.528,4.21,360,-1.19,NORMAL,4.21,6,3
2025-03-06T06:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1189.44,2029.93,63.75,0.512,3.85,367,3.22,NORMAL,3.85,6,3
2025-03-06T06:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1226.17,2046.73,65.58,0.636,4.3,356,3.94,NORMAL,4.3,6,3
2025-03-06T06:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,957.05,2099.87,64.71,0.478,3.6,310,-3.88,NORMAL,3.6,6,3
2025-03-06T07:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1227.59,1987.3,68.79,0.686,4.38,369,-3.26,NORMAL,4.38,7,3
2025-03-06T07:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1233.75,1999.14,60.12,0.471,3.95,382,-2.18,NORMAL,3.95,7,3
2025-03-06T07:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1173.32,1961.5,68.43,0.453,4.5,366,-3.38,NORMAL,4.5,7,3
2025-03-06T07:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1162.91,1988.3,61.69,0.425,3.69,315,-2.35,NORMAL,3.69,7,3
2025-03-06T08:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1156.5,1950.43,62.19,0.626,4.44,383,3.6,NORMAL,4.44,8,3
2025-03-06T08:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1168.88,2076.72,64.74,0.698,4.08,395,3.61,NORMAL,4.08,8,3
2025-03-06T08:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1215.03,2091.76,66.88,0.328,4.69,374,0.08,NORMAL,4.69,8,3
2025-03-06T08:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1226.25,2055.41,65.4,0.47,3.88,328,-3.6,NORMAL,3.88,8,3
2025-03-06T09:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1186.97,2019.42,68.14,0.453,4.58,390,-1.11,NORMAL,4.58,9,3
2025-03-06T09:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1217.31,1953.57,66.29,0.402,4.19,403,5.89,NORMAL,4.19,9,3
2025-03-06T09:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1241.48,1994.71,67.73,0.312,4.83,383,5.72,NORMAL,4.83,9,3
2025-03-06T09:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1165.32,2086.58,61.64,0.418,4.03,335,-0.09,NORMAL,4.03,9,3
2025-03-06T10:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1164.81,1999.04,69.83,0.612,4.75,401,6.0,NORMAL,4.75,10,3
2025-03-06T10:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1172.43,2048.32,66.06,0.617,4.36,412,3.58,NORMAL,4.36,10,3
2025-03-06T10:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1230.66,1918.45,67.14,0.468,5.01,396,0.1,NORMAL,5.01,10,3
2025-03-06T10:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1168.55,2001.33,67.77,0.695,4.14,344,-1.18,NORMAL,4.14,10,3
2025-03-06T11:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1182.22,2075.79,60.28,0.369,4.8,409,5.67,NORMAL,4.8,11,3
2025-03-06T11:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1173.1,2055.56,60.68,0.544,4.46,424,3.0,NORMAL,4.46,11,3
2025-03-06T11:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1178.1,2095.12,64.81,0.412,5.07,410,0.73,NORMAL,5.07,11,3
2025-03-06T11:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1215.67,2051.9,63.14,0.62,4.25,349,-1.65,NORMAL,4.25,11,3
2025-03-06T12:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1155.91,1946.75,61.43,0.465,4.99,414,1.29,NORMAL,4.99,12,3
2025-03-06T12:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1154.73,1993.28,60.75,0.32,4.56,429,5.26,NORMAL,4.56,12,3
2025-03-06T12:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1220.97,1940.26,64.67,0.379,5.15,418,4.31,NORMAL,5.15,12,3
2025-03-06T12:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1157.56,1998.85,63.04,0.346,4.39,357,2.62,NORMAL,4.39,12,3
2025-03-06T13:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1245.12,1989.92,68.56,0.466,5.11,424,-1.56,NORMAL,5.11,13,3
2025-03-06T13:53:23.160764,ROB-ARM-5756d3,ROBOTIC_ARM,1159.43,1982.53,67.96,0.629,4.61,442,-3.38,NORMAL,4.61,13,3
2025-03-06T13:53:23.160764,ROB-ARM-cb4fee,ROBOTIC_ARM,1163.6,2036.52,64.0,0.59,5.21,424,4.32,NORMAL,5.21,13,3
2025-03-06T13:53:23.160764,ROB-ARM-241e51,ROBOTIC_ARM,1165.32,1978.6,64.31,0.328,4.49,366,-3.37,NORMAL,4.49,13,3
2025-03-06T14:53:23.160764,ROB-ARM-11cb98,ROBOTIC_ARM,1172.41,2075.06,65.13,0.444,5.2,431,3.76,NORMAL,5.2,14,3
