timestamp,machine_id,machine_type,spindle_speed_rpm,cutting_force_n,motor_temperature_celsius,coolant_temperature_celsius,coolant_flow_rate_l_min,vibration_mm_per_s,tool_wear_percent,operation_time_hours,parts_produced,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-06T23:28:33.640133,CNC-714ac9,CNC_MACHINE,4949.57,126.11,71.21,24.04,3.51,0.365,-3.94,2.27,22,NORMAL,2.27,23,3
2025-03-06T23:28:33.640133,CNC-2645fa,CNC_MACHINE,4841.43,124.1,67.29,26.95,3.41,0.431,0.03,2.15,24,NORMAL,2.15,23,3
2025-03-06T23:28:33.640133,CNC-601eea,CNC_MACHINE,5092.44,121.98,68.49,25.86,3.58,0.403,2.63,2.59,24,NORMAL,2.59,23,3
2025-03-07T00:28:33.640133,CNC-cd1809,CNC_MACHINE,4978.66,127.36,68.42,24.77,3.44,0.421,-2.81,2.01,26,NORMAL,2.01,0,4
2025-03-07T00:28:33.640133,CNC-714ac9,CNC_MACHINE,5149.66,120.35,65.38,26.85,3.61,0.334,4.85,2.45,24,NORMAL,2.45,0,4
2025-03-07T00:28:33.640133,CNC-2645fa,CNC_MACHINE,4878.9,110.09,72.64,24.29,3.54,0.417,0.95,2.32,25,NORMAL,2.32,0,4
2025-03-07T00:28:33.640133,CNC-601eea,CNC_MACHINE,5180.01,122.08,68.69,24.32,3.61,0.594,-1.86,2.78,27,NORMAL,2.78,0,4
2025-03-07T01:28:33.640133,CNC-cd1809,CNC_MACHINE,5096.61,110.88,74.5,25.18,3.56,0.43,-1.35,2.23,29,NORMAL,2.23,1,4
2025-03-07T01:28:33.640133,CNC-714ac9,CNC_MACHINE,4910.62,128.62,66.26,25.44,3.6,0.345,5.45,2.59,26,NORMAL,2.59,1,4
2025-03-07T01:28:33.640133,CNC-2645fa,CNC_MACHINE,4848.52,127.47,67.67,24.1,3.61,0.459,-0.64,2.43,26,NORMAL,2.43,1,4
2025-03-07T01:28:33.640133,CNC-601eea,CNC_MACHINE,5115.3,114.11,74.05,24.04,3.55,0.49,3.26,2.98,29,NORMAL,2.98,1,4
2025-03-07T02:28:33.640133,CNC-cd1809,CNC_MACHINE,5096.61,110.88,94.13,25.18,3.56,0.43,-1.35,2.47,32,NORMAL,2.47,2,4
2025-03-07T02:28:33.640133,CNC-714ac9,CNC_MACHINE,5178.19,129.68,66.54,25.01,3.33,0.366,-2.14,2.81,27,NORMAL,2.81,2,4
2025-03-07T02:28:33.640133,CNC-2645fa,CNC_MACHINE,4969.22,117.95,72.17,26.95,3.51,0.472,4.17,2.61,28,NORMAL,2.61,2,4
2025-03-07T02:28:33.640133,CNC-601eea,CNC_MACHINE,5119.07,124.25,69.56,26.85,3.56,0.427,3.45,3.14,31,NORMAL,3.14,2,4
2025-03-07T03:28:33.640133,CNC-cd1809,CNC_MACHINE,5179.21,113.63,66.8,24.68,3.68,0.49,4.9,2.57,35,NORMAL,2.57,3,4
2025-03-07T03:28:33.640133,CNC-714ac9,CNC_MACHINE,4915.11,122.6,70.98,25.74,3.31,0.432,5.77,2.89,29,NORMAL,2.89,3,4
2025-03-07T03:28:33.640133,CNC-2645fa,CNC_MACHINE,5154.62,111.91,73.24,23.73,3.4,0.328,3.15,2.69,30,NORMAL,2.69,3,4
2025-03-07T03:28:33.640133,CNC-601eea,CNC_MACHINE,5173.42,123.01,71.82,26.56,3.36,0.541,0.53,3.39,34,NORMAL,3.39,3,4
2025-03-07T04:28:33.640133,CNC-cd1809,CNC_MACHINE,5179.21,113.63,66.8,37.7,2.1,0.49,4.9,2.68,38,NORMAL,2.68,4,4
2025-03-07T04:28:33.640133,CNC-714ac9,CNC_MACHINE,4901.28,115.19,72.73,26.17,3.6,0.415,2.83,3.02,31,NORMAL,3.02,4,4
2025-03-07T04:28:33.640133,CNC-2645fa,CNC_MACHINE,5011.83,114.54,73.79,23.38,3.48,0.306,4.76,2.78,31,NORMAL,2.78,4,4
2025-03-07T04:28:33.640133,CNC-601eea,CNC_MACHINE,4841.52,118.44,74.09,25.55,3.43,0.286,1.16,3.49,36,NORMAL,3.49,4,4
2025-03-07T05:28:33.640133,CNC-cd1809,CNC_MACHINE,4846.01,126.66,71.04,23.1,3.6,0.376,-1.79,2.84,40,NORMAL,2.84,5,4
2025-03-07T05:28:33.640133,CNC-714ac9,CNC_MACHINE,5116.37,113.6,73.05,25.16,3.44,0.582,-3.27,3.18,33,NORMAL,3.18,5,4
2025-03-07T05:28:33.640133,CNC-2645fa,CNC_MACHINE,4284.85,114.54,73.79,23.38,3.48,0.306,4.76,2.99,34,NORMAL,2.99,5,4
2025-03-07T05:28:33.640133,CNC-601eea,CNC_MACHINE,4854.54,125.78,68.1,26.03,3.56,0.589,3.63,3.59,38,NORMAL,3.59,5,4
2025-03-07T06:28:33.640133,CNC-cd1809,CNC_MACHINE,4938.69,125.29,69.94,23.42,3.69,0.488,1.06,2.98,42,NORMAL,2.98,6,4
2025-03-07T06:28:33.640133,CNC-714ac9,CNC_MACHINE,5111.94,121.2,73.64,26.78,3.53,0.57,-3.12,3.31,36,NORMAL,3.31,6,4
2025-03-07T06:28:33.640133,CNC-2645fa,CNC_MACHINE,4959.67,124.66,69.79,23.17,3.69,0.54,2.94,3.09,37,NORMAL,3.09,6,4
2025-03-07T06:28:33.640133,CNC-601eea,CNC_MACHINE,5157.82,119.89,72.92,25.53,3.5,0.249,1.19,3.83,41,NORMAL,3.83,6,4
2025-03-07T07:28:33.640133,CNC-cd1809,CNC_MACHINE,4968.76,113.08,73.25,26.17,3.3,0.283,0.24,3.23,44,NORMAL,3.23,7,4
2025-03-07T07:28:33.640133,CNC-714ac9,CNC_MACHINE,5193.79,113.07,67.61,25.14,3.47,0.244,-0.89,3.53,37,NORMAL,3.53,7,4
2025-03-07T07:28:33.640133,CNC-2645fa,CNC_MACHINE,5005.13,116.19,71.18,26.72,3.56,0.418,5.39,3.29,40,NORMAL,3.29,7,4
2025-03-07T07:28:33.640133,CNC-601eea,CNC_MACHINE,5037.04,118.09,70.26,27.01,3.52,0.48,4.4,3.92,44,NORMAL,3.92,7,4
2025-03-07T08:28:33.640133,CNC-cd1809,CNC_MACHINE,4847.77,127.04,72.91,26.63,3.33,0.311,0.26,3.41,45,NORMAL,3.41,8,4
2025-03-07T08:28:33.640133,CNC-714ac9,CNC_MACHINE,4391.3,113.07,67.61,25.14,3.47,0.244,-0.89,3.7,39,NORMAL,3.7,8,4
2025-03-07T08:28:33.640133,CNC-2645fa,CNC_MACHINE,5065.89,117.11,66.89,25.6,3.33,0.395,3.67,3.41,43,NORMAL,3.41,8,4
2025-03-07T08:28:33.640133,CNC-601eea,CNC_MACHINE,5164.89,115.63,67.14,26.32,3.65,0.393,3.02,4.06,47,NORMAL,4.06,8,4
2025-03-07T09:28:33.640133,CNC-cd1809,CNC_MACHINE,5108.85,116.7,72.72,23.11,3.57,0.305,2.35,3.62,47,NORMAL,3.62,9,4
2025-03-07T09:28:33.640133,CNC-714ac9,CNC_MACHINE,4876.97,126.99,67.11,26.87,3.63,0.295,4.88,3.8,40,NORMAL,3.8,9,4
2025-03-07T09:28:33.640133,CNC-2645fa,CNC_MACHINE,4801.85,110.73,74.36,23.73,3.6,0.521,5.4,3.65,45,NORMAL,3.65,9,4
2025-03-07T09:28:33.640133,CNC-601eea,CNC_MACHINE,5105.3,114.67,72.73,23.58,3.52,0.221,-0.67,4.16,48,NORMAL,4.16,9,4
2025-03-07T10:28:33.640133,CNC-cd1809,CNC_MACHINE,4868.56,125.75,71.27,26.02,3.33,0.246,4.75,3.7,50,NORMAL,3.7,10,4
2025-03-07T10:28:33.640133,CNC-714ac9,CNC_MACHINE,4826.35,129.71,74.33,24.86,3.62,0.441,1.52,3.97,43,NORMAL,3.97,10,4
2025-03-07T10:28:33.640133,CNC-2645fa,CNC_MACHINE,4825.84,117.21,68.29,23.48,3.58,0.327,0.16,3.89,47,NORMAL,3.89,10,4
2025-03-07T10:28:33.640133,CNC-601eea,CNC_MACHINE,5020.74,128.68,70.28,25.91,3.33,0.299,4.99,4.31,49,NORMAL,4.31,10,4
2025-03-07T11:28:33.640133,CNC-cd1809,CNC_MACHINE,5131.21,111.37,69.69,24.55,3.68,0.213,5.6,3.85,51,NORMAL,3.85,11,4
2025-03-07T11:28:33.640133,CNC-714ac9,CNC_MACHINE,5032.28,116.17,73.5,25.48,3.54,0.197,-0.46,4.2,44,NORMAL,4.2,11,4
2025-03-07T11:28:33.640133,CNC-2645fa,CNC_MACHINE,4976.51,125.03,67.08,24.4,3.34,0.37,0.41,4.11,48,NORMAL,4.11,11,4
2025-03-07T11:28:33.640133,CNC-601eea,CNC_MACHINE,5152.11,117.12,67.22,25.49,3.31,0.36,3.07,4.49,51,NORMAL,4.49,11,4
2025-03-07T12:28:33.640133,CNC-cd1809,CNC_MACHINE,4803.17,110.15,71.29,23.24,3.33,0.406,3.89,4.01,53,NORMAL,4.01,12,4
2025-03-07T12:28:33.640133,CNC-714ac9,CNC_MACHINE,4937.54,111.89,73.06,23.87,3.46,0.507,3.43,4.29,46,NORMAL,4.29,12,4
2025-03-07T12:28:33.640133,CNC-2645fa,CNC_MACHINE,4976.51,125.03,67.08,36.48,2.32,0.37,0.41,4.25,50,NORMAL,4.25,12,4
2025-03-07T12:28:33.640133,CNC-601eea,CNC_MACHINE,5153.45,125.92,68.89,24.72,3.52,0.399,-1.93,4.61,52,NORMAL,4.61,12,4
2025-03-07T13:28:33.640133,CNC-cd1809,CNC_MACHINE,4996.52,117.18,70.16,25.74,3.37,0.407,1.42,4.25,56,NORMAL,4.25,13,4
2025-03-07T13:28:33.640133,CNC-714ac9,CNC_MACHINE,5157.99,118.66,66.34,24.88,3.56,0.293,-2.42,4.53,49,NORMAL,4.53,13,4
2025-03-07T13:28:33.640133,CNC-2645fa,CNC_MACHINE,5180.66,117.15,64.92,23.08,3.63,0.52,3.1,4.38,52,NORMAL,4.38,13,4
2025-03-07T13:28:33.640133,CNC-601eea,CNC_MACHINE,4863.34,111.27,71.42,23.56,3.32,0.305,1.89,4.77,54,NORMAL,4.77,13,4
2025-03-07T14:28:33.640133,CNC-cd1809,CNC_MACHINE,5162.47,118.15,74.37,25.55,3.52,0.59,3.09,4.49,57,NORMAL,4.49,14,4
2025-03-07T14:28:33.640133,CNC-714ac9,CNC_MACHINE,5077.52,127.65,73.86,23.96,3.66,0.445,4.04,4.76,51,NORMAL,4.76,14,4
2025-03-07T14:28:33.640133,CNC-2645fa,CNC_MACHINE,4918.3,120.47,72.76,26.47,3.43,0.525,1.93,4.5,55,NORMAL,4.5,14,4
2025-03-07T14:28:33.640133,CNC-601eea,CNC_MACHINE,5049.69,115.12,70.33,24.51,3.61,0.588,-1.94,4.94,56,NORMAL,4.94,14,4
2025-03-07T15:28:33.640133,CNC-cd1809,CNC_MACHINE,5140.45,113.28,72.2,23.5,3.63,0.388,-0.56,4.67,60,NORMAL,4.67,15,4
2025-03-07T15:28:33.640133,CNC-714ac9,CNC_MACHINE,4857.5,113.62,75.1,23.2,3.55,0.257,-2.55,4.89,53,NORMAL,4.89,15,4
2025-03-07T15:28:33.640133,CNC-2645fa,CNC_MACHINE,5146.58,125.03,73.79,23.13,3.44,0.369,1.01,4.6,56,NORMAL,4.6,15,4
2025-03-07T15:28:33.640133,CNC-601eea,CNC_MACHINE,5176.41,115.13,65.13,25.39,3.52,0.318,2.77,5.17,57,NORMAL,5.17,15,4
2025-03-07T16:28:33.640133,CNC-cd1809,CNC_MACHINE,5135.57,120.2,70.69,23.81,3.65,0.529,6.25,4.86,61,NORMAL,4.86,16,4
2025-03-07T16:28:33.640133,CNC-714ac9,CNC_MACHINE,4891.87,116.14,67.02,24.01,3.66,0.345,1.16,4.97,56,NORMAL,4.97,16,4
2025-03-07T16:28:33.640133,CNC-2645fa,CNC_MACHINE,4984.15,115.19,65.09,25.75,3.61,0.219,3.84,4.7,59,NORMAL,4.7,16,4
2025-03-07T16:28:33.640133,CNC-601eea,CNC_MACHINE,5081.12,118.29,73.2,23.84,3.38,0.449,-0.21,5.3,60,NORMAL,5.3,16,4
2025-03-07T17:28:33.640133,CNC-cd1809,CNC_MACHINE,4829.8,123.96,68.3,26.64,3.31,0.283,1.07,5.05,62,NORMAL,5.05,17,4
2025-03-07T17:28:33.640133,CNC-714ac9,CNC_MACHINE,4450.9,116.14,67.02,24.01,3.66,0.345,1.16,5.17,58,NORMAL,5.17,17,4
2025-03-07T17:28:33.640133,CNC-2645fa,CNC_MACHINE,5154.43,120.56,72.55,25.7,3.51,0.316,-3.14,4.88,60,NORMAL,4.88,17,4
2025-03-07T17:28:33.640133,CNC-601eea,CNC_MACHINE,5189.37,117.98,66.38,24.43,3.42,0.357,6.85,5.44,61,NORMAL,5.44,17,4
2025-03-07T18:28:33.640133,CNC-cd1809,CNC_MACHINE,5006.98,124.03,68.02,23.69,3.35,0.558,-0.57,5.29,64,NORMAL,5.29,18,4
2025-03-07T18:28:33.640133,CNC-714ac9,CNC_MACHINE,4997.28,124.04,71.07,26.68,3.34,0.254,1.95,5.27,59,NORMAL,5.27,18,4
2025-03-07T18:28:33.640133,CNC-2645fa,CNC_MACHINE,4901.2,125.25,65.15,23.66,3.46,0.431,0.87,5.12,62,NORMAL,5.12,18,4
2025-03-07T18:28:33.640133,CNC-601eea,CNC_MACHINE,4976.48,116.2,69.27,24.18,3.38,0.394,-1.0,5.64,62,NORMAL,5.64,18,4
2025-03-07T19:28:33.640133,CNC-cd1809,CNC_MACHINE,4857.03,127.14,67.86,23.52,3.58,0.526,-1.11,5.39,67,NORMAL,5.39,19,4
2025-03-07T19:28:33.640133,CNC-714ac9,CNC_MACHINE,4922.43,114.06,69.14,25.19,3.59,0.215,3.51,5.42,62,NORMAL,5.42,19,4
2025-03-07T19:28:33.640133,CNC-2645fa,CNC_MACHINE,5032.93,117.29,73.39,24.29,3.58,0.374,4.17,5.21,65,NORMAL,5.21,19,4
2025-03-07T19:28:33.640133,CNC-601eea,CNC_MACHINE,4823.47,128.59,74.3,25.99,3.38,0.302,-1.17,5.78,63,NORMAL,5.78,19,4
2025-03-07T20:28:33.640133,CNC-cd1809,CNC_MACHINE,5196.38,120.62,74.37,24.52,3.66,0.214,0.48,5.53,70,NORMAL,5.53,20,4
2025-03-07T20:28:33.640133,CNC-714ac9,CNC_MACHINE,5159.4,120.83,66.77,26.22,3.6,0.27,-0.36,5.65,65,NORMAL,5.65,20,4
2025-03-07T20:28:33.640133,CNC-2645fa,CNC_MACHINE,4845.92,115.47,67.26,24.7,3.55,0.304,1.83,5.44,67,NORMAL,5.44,20,4
2025-03-07T20:28:33.640133,CNC-601eea,CNC_MACHINE,4987.03,114.62,69.23,23.6,3.5,0.598,1.07,5.97,66,NORMAL,5.97,20,4
2025-03-07T21:28:33.640133,CNC-cd1809,CNC_MACHINE,5077.84,122.45,72.23,26.76,3.55,0.384,5.13,5.66,73,NORMAL,5.66,21,4
2025-03-07T21:28:33.640133,CNC-714ac9,CNC_MACHINE,4802.44,117.32,66.6,25.44,3.51,0.451,5.48,5.89,66,NORMAL,5.89,21,4
2025-03-07T21:28:33.640133,CNC-2645fa,CNC_MACHINE,4825.86,124.97,71.16,24.65,3.43,0.481,0.41,5.63,69,NORMAL,5.63,21,4
2025-03-07T21:28:33.640133,CNC-601eea,CNC_MACHINE,4987.03,114.62,69.23,23.6,3.5,1.688,1.07,6.19,67,NORMAL,6.19,21,4
2025-03-07T22:28:33.647793,CNC-cd1809,CNC_MACHINE,5151.22,129.69,73.74,25.58,3.38,0.379,7.26,5.8,76,NORMAL,5.8,22,4
2025-03-07T22:28:33.647793,CNC-714ac9,CNC_MACHINE,5945.6,117.32,66.6,25.44,3.51,0.451,5.48,6.11,67,NORMAL,6.11,22,4
2025-03-07T22:28:33.647793,CNC-2645fa,CNC_MACHINE,4940.85,127.22,74.14,25.33,3.63,0.354,2.81,5.88,70,NORMAL,5.88,22,4
2025-03-07T22:28:33.647793,CNC-601eea,CNC_MACHINE,5084.5,116.41,66.34,26.43,3.55,0.605,2.45,6.42,70,NORMAL,6.42,22,4
2025-03-07T23:28:33.647793,CNC-cd1809,CNC_MACHINE,5151.22,129.69,92.53,25.58,3.38,0.379,7.26,6.03,79,NORMAL,6.03,23,4
2025-03-07T23:28:33.647793,CNC-714ac9,CNC_MACHINE,5026.71,118.53,75.11,23.54,3.5,0.334,1.22,6.23,70,NORMAL,6.23,23,4
2025-03-07T23:28:33.647793,CNC-2645fa,CNC_MACHINE,4948.33,113.75,73.27,26.01,3.6,0.411,7.16,6.1,73,NORMAL,6.1,23,4
2025-03-07T23:28:33.647793,CNC-601eea,CNC_MACHINE,5143.3,118.32,75.11,26.55,3.62,0.371,-2.37,6.63,71,NORMAL,6.63,23,4
2025-03-08T00:28:33.647793,CNC-cd1809,CNC_MACHINE,4798.11,128.86,71.97,23.39,3.56,0.513,4.82,6.24,82,NORMAL,6.24,0,5
2025-03-08T00:28:33.647793,CNC-714ac9,CNC_MACHINE,5169.46,127.98,65.01,23.5,3.33,0.307,7.19,6.34,71,NORMAL,6.34,0,5
2025-03-08T00:28:33.647793,CNC-2645fa,CNC_MACHINE,5184.73,117.94,71.92,26.12,3.32,0.321,2.76,6.32,74,NORMAL,6.32,0,5
2025-03-08T00:28:33.647793,CNC-601eea,CNC_MACHINE,4936.74,121.94,68.63,25.02,3.67,0.505,-0.15,6.87,72,NORMAL,6.87,0,5
2025-03-08T01:28:33.647793,CNC-cd1809,CNC_MACHINE,4406.72,128.86,71.97,23.39,3.56,0.513,4.82,6.38,85,NORMAL,6.38,1,5
2025-03-08T01:28:33.647793,CNC-714ac9,CNC_MACHINE,5085.54,110.83,65.28,26.82,3.43,0.27,6.6,6.58,73,NORMAL,6.58,1,5
2025-03-08T01:28:33.647793,CNC-2645fa,CNC_MACHINE,4857.42,126.68,72.5,25.42,3.37,0.326,1.68,6.53,77,NORMAL,6.53,1,5
2025-03-08T01:28:33.647793,CNC-601eea,CNC_MACHINE,5170.6,127.94,67.92,23.66,3.38,0.196,1.67,7.1,73,NORMAL,7.1,1,5
2025-03-08T02:28:33.647793,CNC-cd1809,CNC_MACHINE,4947.85,115.74,72.02,26.42,3.44,0.497,7.14,6.54,88,NORMAL,6.54,2,5
2025-03-08T02:28:33.647793,CNC-714ac9,CNC_MACHINE,5142.98,117.48,73.34,24.55,3.6,0.485,1.55,6.67,75,NORMAL,6.67,2,5
2025-03-08T02:28:33.647793,CNC-2645fa,CNC_MACHINE,5197.27,121.07,74.2,24.61,3.67,0.361,3.88,6.77,80,NORMAL,6.77,2,5
2025-03-08T02:28:33.647793,CNC-601eea,CNC_MACHINE,5136.99,121.11,69.64,24.29,3.48,0.277,4.06,7.32,75,NORMAL,7.32,2,5
2025-03-08T03:28:33.647793,CNC-cd1809,CNC_MACHINE,5165.61,123.7,67.85,23.96,3.37,0.235,0.03,6.64,90,NORMAL,6.64,3,5
2025-03-08T03:28:33.647793,CNC-714ac9,CNC_MACHINE,4918.23,119.76,65.94,25.19,3.45,0.411,6.9,6.85,77,NORMAL,6.85,3,5
2025-03-08T03:28:33.647793,CNC-2645fa,CNC_MACHINE,5197.27,121.07,90.16,24.61,3.67,0.361,3.88,6.86,81,NORMAL,6.86,3,5
